rgi_id,glac_name,termlat,termlon,cenlat,cenlon,slope_deg,area_km2,zmin_m,zmax_m
RGI2000-v7.0-G-15-02812,,30.201989924577404,81.55331737607371,30.1997,81.55222463866292,29.738745,0.143847443450296,5166.791,5455.607
RGI2000-v7.0-G-15-02813,,30.200443942054342,81.56507591668043,30.198219,81.56484263042897,27.15916,0.075531096167614,5243.088,5485.0913
RGI2000-v7.0-G-15-02814,,30.201898761625653,81.56760224845911,30.1983715,81.56730051725901,30.440523,0.122378139870813,5135.7524,5552.292
RGI2000-v7.0-G-15-02815,,30.203002687830875,81.57357981769994,30.19928,81.5714314680057,21.329634,0.180903468377494,5245.563,5520.759
RGI2000-v7.0-G-15-02816,,30.200365907708537,81.57413499449976,30.1987095,81.57417440718868,27.921785,0.036664551367075,5432.952,5589.767
RGI2000-v7.0-G-15-02817,,30.202382661136618,81.57766828277654,30.200235,81.57775005409783,27.975908,0.134186149491338,5201.104,5466.1294
RGI2000-v7.0-G-15-02818,,30.202102388414662,81.58204007573329,30.1993845,81.58078125259652,26.53216,0.105140615250322,5246.8677,5530.7324
RGI2000-v7.0-G-15-02819,,30.202192552674397,81.58909326004039,30.199844,81.58676567479816,25.019682,0.202981313096886,5234.07,5542.889
RGI2000-v7.0-G-15-02820,,30.195428021117742,81.59316999921661,30.194975499999998,81.5935590189776,27.542137,0.012227729467534,5550.015,5608.596
RGI2000-v7.0-G-15-02821,,30.201984743874224,81.59225312578828,30.1985795,81.5981885964343,27.008368,0.773844787221751,5166.6714,5581.0063
RGI2000-v7.0-G-15-02822,,30.18913335685078,81.60464495711555,30.1890425,81.60680372611588,31.97247,0.086531523220267,5470.627,5714.851
RGI2000-v7.0-G-15-02823,,30.194913131403705,81.61395819810487,30.1963665,81.61667940660226,26.11433,0.068835926394777,5662.8774,5847.897
RGI2000-v7.0-G-15-02824,,30.20756916097612,81.60895775682015,30.2025615,81.61333863938893,27.386312,0.498391232047232,5044.5073,5842.71
RGI2000-v7.0-G-15-02825,,30.20860920119631,81.61941719035802,30.207183999999998,81.61885655429654,32.99076,0.052756935151136,5328.7334,5537.185
RGI2000-v7.0-G-15-02826,,30.20966361357401,81.62430267871234,30.206124,81.62285050202851,35.96151,0.160675410651151,5260.274,5780.8857
RGI2000-v7.0-G-15-02827,,30.206534959988367,81.62582900403868,30.2058955,81.62563956637004,34.156643,0.018350056044069,5542.6523,5654.182
RGI2000-v7.0-G-15-02828,,30.20417536647059,81.63329597156367,30.2007585,81.62361201157964,28.198528,0.472233962573764,5300.8623,6006.0625
RGI2000-v7.0-G-15-02829,,30.194669008573282,81.62533624381722,30.196192,81.62592459999999,26.78454,0.080404671752846,5560.188,5755.84
RGI2000-v7.0-G-15-02834,,30.161458261002164,81.66180198882687,30.157015,81.66169381354342,25.546637,0.486458947265288,4957.594,5436.8857
